Date,Amount,Currency,Category,Description,Source,File ID
2024-01-15,80,TWD,Food,Coffee at 7-Eleven,Telegram,
2024-01-15,250,TWD,Food,Lunch at office cafeteria,Telegram,
2024-01-16,30,TWD,Transportation,MRT ticket Banqiao to Taipei,Telegram,
2024-01-16,390,TWD,Subscriptions,Netflix monthly subscription,Telegram,
2024-01-17,1200,TWD,Shopping,Wireless earphones at Costco,Telegram,
2024-01-18,450,TWD,Health,Pharmacy - vitamins and cold medicine,Telegram,
2024-01-18,120,TWD,Food,Bubble tea with friends,Telegram,
2024-01-19,3500,TWD,Housing,Water and electricity bill,Telegram,
2024-01-19,55,TWD,Transportation,YouBike 30-day pass,Telegram,
2024-01-20,800,TWD,Entertainment,Movie tickets x2,Telegram,
